web-scraper-order,web-scraper-start-url,links,links-href,Name,Company,Founded,Origin,Published,About
"1704574347-1","https://www.ellenmacarthurfoundation.org/topics/built-environment/examples","ArticleBiodiversityCitiesBuilt EnvironmentA biodiverse compact city: SingaporeSingapore has adopted a compact and biodiversity-friendly approach to urban planning.","https://www.ellenmacarthurfoundation.org/circular-examples/a-biodiverse-compact-city-singapore","A biodiverse compact city: Singapore","Singapore","","","8 September 2021","By promoting a compact urban environment where biodiversity is integrated, Singapore’s development has been able to leave room for nature within and beyond its built-up area. Singapore is home to an estimated 23,000–28,000 species of terrestrial organisms and 12,000–17,000 marine organisms."
"1704574350-2","https://www.ellenmacarthurfoundation.org/topics/built-environment/examples","ArticleBiodiversityCitiesBuilt EnvironmentUrban planning that safeguards nature: AucklandImproving residents’ well-being and minimising environmental impacts.","https://www.ellenmacarthurfoundation.org/circular-examples/urban-planning-that-safeguards-nature-auckland","Urban planning that safeguards nature: Auckland","Auckland","New Zealand","","8 September 2021","The findings from the 2020 monitoring report show that since the Development Strategy was adopted, new dwelling consents are in fact delivering a more quality compact city: from the 14,776 dwellings that were consented in 2019/2020, 82% were in the existing urban area."
"1704574352-3","https://www.ellenmacarthurfoundation.org/topics/built-environment/examples","ArticleBuilt EnvironmentCitiesBuilding for new uses: Quay Quarter TowerQuay Quarter Tower, originally built in 1976, has been the centrepiece of Sydney’s harbour area...","https://www.ellenmacarthurfoundation.org/circular-examples/building-for-new-uses-and-lower-material-needs-quay-quarter-tower","Building for new uses and lower material needs: Quay Quarter Tower","Quay Quarter Tower","Australia","","8 September 2021","The adaptive reuse approach retained 68% of the building’s structure, which reduced the need for virgin material extraction and retained a part of the tower’s embodied CO2 equivalent to 10,000 flights from Sydney to Melbourne. In doing so, the renovation was able to reduce its contribution to the overexploitation of natural resources and to climate change, thereby minimising the project’s impact on biodiversity."
"1704574355-4","https://www.ellenmacarthurfoundation.org/topics/built-environment/examples","ArticleBiodiversityCitiesBuilt EnvironmentA low-impact timber-based office: Triodos Bank OfficeDemonstrating the potential of switching to renewable materials.","https://www.ellenmacarthurfoundation.org/circular-examples/a-low-impact-timber-based-office-triodos-bank-office","A low-impact timber-based office: Triodos Bank Office","Triodos Bank Office","2019","The Netherlands","8 September 2021","The application of circular economy principles in the building’s design goes further as its structure was designed for disassembly by joining the timber components using screws instead of glue. This means the building can be taken apart simply by unscrewing the components, which can then be reused in other projects. The office is also conceived as a materials bank, with all its materials monitored using a public online repository so they can more easily be reused in the future. Built in 2019, the building achieved a BREEAM Outstanding Certificate for its environmental, social, and economic sustainability thanks to, among other factors, making use of sustainable materials and natural light, and carefully regulating its climate."
"1704574358-5","https://www.ellenmacarthurfoundation.org/topics/built-environment/examples","ArticleBiodiversityBuilt EnvironmentSequestering carbon with renewables: Believe in Better BuildingThe tallest commercial timber building in the UK demonstrates the potential of switching to...","https://www.ellenmacarthurfoundation.org/circular-examples/switching-to-renewable-materials-to-sequester-carbon-believe-in-better","Switching to renewable materials to sequester carbon: Believe in Better Building","Believe in Better Building","2014","United Kingdom","8 September 2021","Using timber instead of concrete as a renewable, low-carbon material allowed for the Believe in Better Building to reduce its dependency on the extraction of finite resources like sand and gravel, which has been associated with detrimental effects to biodiversity. The structure locks in 1,242 tonnes of CO2, even after discounting the 200 tonnes of emissions associated with manufacturing and transporting the timber from Austria. This is equivalent to 12 years of regulated operational carbon or 6 years of total operational carbon."
"1704574360-6","https://www.ellenmacarthurfoundation.org/topics/built-environment/examples","ArticleBiodiversityBuilt EnvironmentHemp as a renewable, low-carbon building material: Flat HouseUsing hemp-based materials as an alternative to the finite resources.","https://www.ellenmacarthurfoundation.org/circular-examples/hemp-as-a-renewable-low-carbon-building-material-flat-house","Hemp as a renewable, low-carbon building material: Flat House","Flat House","2019","United Kingdom","8 September 2021","Using hemp instead of concrete as a renewable, low-carbon material allowed for the Flat House to reduce its dependency on the extraction of finite resources like sand and gravel, which are associated with detrimental effects on biodiversity. The renewable materials and offsite construction methods used allowed to radically reduce the building’s embodied carbon. Moreover, hemp captures carbon as it grows, absorbing it from our atmosphere and locking it into biomass. As a result, the project is estimated to have negative annual emissions of –2.32 kgCO2/m²."
"1704574362-7","https://www.ellenmacarthurfoundation.org/topics/built-environment/examples","ArticleBiodiversityCitiesBuilt EnvironmentSalvaging materials to displace new extraction: Villa WelpelooA house in the Netherlands constructed from 60% salvaged material.","https://www.ellenmacarthurfoundation.org/circular-examples/salvaging-materials-to-displace-new-extraction-villa-welpeloo","Salvaging materials to displace new extraction: Villa Welpeloo","Villa Welpeloo","2005","The Netherlands","8 September 2021","Villa Welpeloo’s use of salvaged instead of virgin materials displaced the need for further natural resource extraction, processing, and disposal. Reusing existing materials minimized the construction’s contribution to the key direct drivers of biodiversity loss, such as climate change and overexploitation of natural resources."
"1704574365-8","https://www.ellenmacarthurfoundation.org/topics/built-environment/examples","ArticleBiodiversityCitiesBuilt EnvironmentRefurbishing and reusing to reduce impacts: 1 Triton SquareUpgrading a building to save materials and reduce costs.","https://www.ellenmacarthurfoundation.org/circular-examples/refurbishing-buildings-to-alleviate-environmental-pressures-1-triton-square","Refurbishing buildings to alleviate environmental pressures: 1 Triton Square","1 Triton Square","2021","United Kingdom","8 September 2021","The circular economy approach to retaining and reusing as much of the existing frame and façade as possible saved 3,300m2  of limestone, 35,000 tonnes of concrete and 1,900 tonnes of steel. By doing so, the project avoided the impacts on biodiversity of extracting and processing such amounts of virgin resources. This approach also minimised the carbon footprint of the redevelopment, hence reducing its contribution to climate change - one of the key drivers of biodiversity loss. Compared to a typical new build alternative, the building has been estimated to achieve a 54% carbon saving in construction and operation, equivalent to the annual energy consumption of over 10,000 UK homes."
"1704574368-9","https://www.ellenmacarthurfoundation.org/topics/built-environment/examples","ArticleBiodiversityCitiesBuilt EnvironmentReusing materials to limit biodiversity impacts: Upcycled StudiosA development of 20 townhouses using repurposed and recycled materials.","https://www.ellenmacarthurfoundation.org/circular-examples/reusing-construction-materials-to-limit-biodiversity-impacts-upcycles","Reusing construction materials to limit biodiversity impacts: Upcycled Studios","Upcycled Studios","2018","Denmark","8 September 2021","By making use of local, existing materials, this Danish development reduced the need for virgin material extraction and processing — hence limiting its impact on natural resource overexploitation and climate change, two of the key drivers of biodiversity loss. Additionally, the design for flexibility approach taken for interior spaces will help keep the buildings in use for longer, even under changing requirements."
"1704574370-10","https://www.ellenmacarthurfoundation.org/topics/built-environment/examples","ArticleCitiesBuilt EnvironmentEffective water systems for urban circularityModular and fully integrated into the urban environment, BioMakeries treat and recycle wastewater,...","https://www.ellenmacarthurfoundation.org/circular-examples/effective-water-systems-for-urban-circularity","Effective water systems for urban circularity: Biopolus","Biopolus","Budapest, Hungary","","5 October 2021","The Solution: A decentralised network of BioMakeries (urban metabolic hubs) that are powered by Biopolus MNR Technology to harness clean water, energy, nutrients, and minerals from wastewater and organic waste."
