web-scraper-order,web-scraper-start-url,links,links-href,Name,Company,Founded,Origin,Published,About
"1704574744-1","https://www.ellenmacarthurfoundation.org/resources/business/examples","ArticleFoodBusinessWorking with nature to make food last longer: ApeelEdible plant-derived protection that's applied to the surface of fresh produce.","https://www.ellenmacarthurfoundation.org/circular-examples/apeel","Working with nature to make food last longer: Apeel","Apeel","2012","Goleta, California, United States","20 January 2021","Apeel is a company that has come up with an innovative way to eliminate single-use shrink wrap plastic packaging on fresh fruit and veg, while at the same time tackling food waste."
"1704574747-2","https://www.ellenmacarthurfoundation.org/resources/business/examples","ArticleFoodBusinessMaking new products from urban organic waste streams: De Clique“We are working towards zero-waste cities in which all residual flows are reused”","https://www.ellenmacarthurfoundation.org/circular-examples/de-clique","Making new products from urban organic waste streams: De Clique","De Clique","Netherlands","","17 February 2021","Using cycle couriers and electric vehicles, De Clique collects food by-products like coffee grounds, orange peels and other food waste from businesses."
"1704574749-3","https://www.ellenmacarthurfoundation.org/resources/business/examples","ArticleBusinessEurope’s first circular economy factory for vehicles: RenaultEurope’s first dedicated circular economy factory for vehicles","https://www.ellenmacarthurfoundation.org/circular-examples/groupe-renault","Europe’s first circular economy factory for vehicles: Renault","1899","Boulogne-Billancourt, France","","16 August 2021","Renault is a pioneer of the circular economy in the automotive industry. The aim of their circular activities is to extend the life of vehicles and components, and keep materials in use, thereby reducing the use of virgin materials."
"1704574752-4","https://www.ellenmacarthurfoundation.org/resources/business/examples","ArticleFashionBusinessAn open access, circular supply chain for t-shirts: TeemillTeemill is a tech-based fashion business that takes a more holistic view of the fashion...","https://www.ellenmacarthurfoundation.org/circular-examples/an-open-access-circular-supply-chain-for-t-shirts-teemill","An open access, circular supply chain for t-shirts: Teemill","Teemill","2009","Isle of Wight","23 August 2021","Teemill is a tech-based fashion business that takes a more holistic view of the fashion industry, designing out waste at each step of the material supply chain, applying disruptive technology to minimise overstocking, and maximise material recycling."
"1704574754-5","https://www.ellenmacarthurfoundation.org/resources/business/examples","ArticleBusinessDesignDesign and business model for heavy machinery remanufacturingCaterpillar manufacture heavy machinery, and develop practices that enable greater value to be...","https://www.ellenmacarthurfoundation.org/circular-examples/design-and-business-model-considerations-for-heavy-machinery-remanufacturing","Design and business model considerations for heavy machinery remanufacturing: Caterpillar","Caterpillar","1925","U.S.","23 August 2021","Caterpillar manufacture heavy machinery, and develop practices that enable greater value to be recovered during remanufacturing processes. The company has been able to increase profit margin whilst still producing components of the highest quality. Rather than aiming to use less material, consideration goes into creating a product that is intended to be remanufactured a number of times."
"1704574757-6","https://www.ellenmacarthurfoundation.org/resources/business/examples","ArticleBusinessKeeping the molecules and materials in use: SolvayGlobal chemical company Solvay supplies high-performance plastics, polymers, fluids, and elastomers...","https://www.ellenmacarthurfoundation.org/circular-examples/keeping-the-molecules-and-materials-in-use-solvay","Keeping the molecules and materials in use: Solvay","Solvay","1863","Belgium","23 August 2021","Science company Solvay’s circular ambitions are seen as a key tool to delivering on its ‘One Planet’ sustainability strategy. This ambitious blueprint sets out Solvay’s pathway to a 26% reduction in emissions (with a recent SBTI commitment) and 30% reduction in biodiversity pressure by 2030."
"1704574759-7","https://www.ellenmacarthurfoundation.org/resources/business/examples","ArticleBusinessPioneering circularity in the healthcare industry: Royal PhilipsPhilips is a global health technology company focused on improving health and enabling better...","https://www.ellenmacarthurfoundation.org/circular-examples/pioneering-circularity-in-the-healthcare-industry-royal-philips","Pioneering circularity in the healthcare industry: Royal Philips","Royal Philips","15th May 1891","Amsterdam, Netherlands","2 September 2021","Philips is a global health technology company focused on improving health and enabling better outcomes for people, from healthy living and illness prevention, to diagnosis, treatment and homecare. Philips products include large scale medical equipment, such as imaging, as well as smaller medical equipment and homecare products. Philips services support the whole spectrum of activities in the health industry. The company employs approximately 77,000 employees and generates EUR 17.8 billion sales in 2022 with sales and services in more than 100 countries."
"1704574762-8","https://www.ellenmacarthurfoundation.org/resources/business/examples","ArticleFinanceBusinessThe world’s largest investor and the circular economy: BlackRockIn October 2019 BlackRock launched a circular economy public equity fund.","https://www.ellenmacarthurfoundation.org/circular-examples/the-worlds-largest-investor-embraces-the-circular-economy-blackrock","The world’s largest investor embraces the circular economy: BlackRock","BlackRock","1988","New York City, United States","23 September 2021","BlackRock is the world’s largest asset manager investing on behalf of clients – ranging from pension funds and sovereign wealth funds to family offices and individuals – in assets such as shares of publicly-listed companies, corporate and sovereign bonds, and real assets, such as infrastructure and housing."
"1704574764-9","https://www.ellenmacarthurfoundation.org/resources/business/examples","ArticleBusinessPlasticsArtificial intelligence for recycling: AMP RoboticsImproving the economics of recycling using artificial intelligence","https://www.ellenmacarthurfoundation.org/circular-examples/artificial-intelligence-for-recycling-amp-robotics","Artificial intelligence for recycling: AMP Robotics","AMP Robotics","Colorado, US","","1 October 2021","AMP’s artificial intelligence (AI) platform AMP NeuronTM uses cameras to scan mixed waste streams and identify the different materials. Neuron’s deep learning capability allows for continuous improvement of the identification and categorisation of paper, plastics and metals, by colour, size, shape, brand and other traits."
"1704574767-10","https://www.ellenmacarthurfoundation.org/resources/business/examples","ArticleBusinessDenmark: Public procurement as a circular economy enabler","https://www.ellenmacarthurfoundation.org/circular-examples/denmark-public-procurement-as-a-circular-economy-enabler","Denmark: Public procurement as a circular economy enabler","Danish Environmental Protection Agency","","","1 October 2021","Initiated by the Danish government, the programme aims to shift public procurement to support the transition to a circular economy. Through the partnership, members work to integrate procurement policies that emphasise circular economy criteria such as the use of non-toxic chemicals, extended product lifespan, and the cycling of biological and technical materials."
